Month,production,diff_1,Retrive
1956-01,93.2,0.12589473684210528,93.2
1956-02,96.0,2.799999999999997,96.0
1956-03,95.2,-0.7999999999999972,95.2
1956-04,77.1,-18.10000000000001,77.1
1956-05,70.9,-6.199999999999989,70.9
1956-06,64.8,-6.1000000000000085,64.8
1956-07,70.1,5.299999999999997,70.1
1956-08,77.3,7.200000000000003,77.3
1956-09,79.5,2.200000000000003,79.5
1956-10,100.6,21.099999999999994,100.6
1956-11,100.7,0.10000000000000853,100.7
1956-12,107.1,6.3999999999999915,107.1
1957-01,95.9,-11.199999999999989,95.9
1957-02,82.8,-13.100000000000009,82.8
1957-03,83.3,0.5,83.3
1957-04,80.0,-3.299999999999997,80.0
1957-05,80.4,0.4000000000000057,80.4
1957-06,67.5,-12.900000000000006,67.5
1957-07,75.7,8.200000000000003,75.7
1957-08,71.1,-4.6000000000000085,71.1
1957-09,89.3,18.200000000000003,89.3
1957-10,101.1,11.799999999999997,101.1
1957-11,105.2,4.1000000000000085,105.2
1957-12,114.1,8.899999999999991,114.1
1958-01,96.3,-17.799999999999997,96.3
1958-02,84.4,-11.899999999999991,84.4
1958-03,91.2,6.799999999999997,91.2
1958-04,81.9,-9.299999999999997,81.9
1958-05,80.5,-1.4000000000000057,80.5
1958-06,70.4,-10.099999999999994,70.4
1958-07,74.8,4.3999999999999915,74.8
1958-08,75.9,1.1000000000000085,75.9
1958-09,86.3,10.399999999999991,86.3
1958-10,98.7,12.400000000000006,98.7
1958-11,100.9,2.200000000000003,100.9
1958-12,113.8,12.899999999999991,113.8
1959-01,89.8,-24.0,89.8
1959-02,84.4,-5.3999999999999915,84.4
1959-03,87.2,2.799999999999997,87.2
1959-04,85.6,-1.6000000000000085,85.6
1959-05,72.0,-13.599999999999994,72.0
1959-06,69.2,-2.799999999999997,69.2
1959-07,77.5,8.299999999999997,77.5
1959-08,78.1,0.5999999999999943,78.1
1959-09,94.3,16.200000000000003,94.3
1959-10,97.7,3.4000000000000057,97.7
1959-11,100.2,2.5,100.2
1959-12,116.4,16.200000000000003,116.4
1960-01,97.1,-19.30000000000001,97.1
1960-02,93.0,-4.099999999999994,93.0
1960-03,96.0,3.0,96.0
1960-04,80.5,-15.5,80.5
1960-05,76.1,-4.400000000000006,76.1
1960-06,69.9,-6.199999999999989,69.9
1960-07,73.6,3.6999999999999886,73.6
1960-08,92.6,19.0,92.6
1960-09,94.2,1.6000000000000085,94.2
1960-10,93.5,-0.7000000000000028,93.5
1960-11,108.5,15.0,108.5
1960-12,109.4,0.9000000000000057,109.4
1961-01,105.1,-4.300000000000011,105.1
1961-02,92.5,-12.599999999999994,92.5
1961-03,97.1,4.599999999999994,97.1
1961-04,81.4,-15.699999999999989,81.4
1961-05,79.1,-2.3000000000000114,79.1
1961-06,72.1,-7.0,72.1
1961-07,78.7,6.6000000000000085,78.7
1961-08,87.1,8.399999999999991,87.1
1961-09,91.4,4.300000000000011,91.4
1961-10,109.9,18.5,109.9
1961-11,116.3,6.3999999999999915,116.3
1961-12,113.0,-3.299999999999997,113.0
1962-01,100.0,-13.0,100.0
1962-02,84.8,-15.200000000000003,84.8
1962-03,94.3,9.5,94.3
1962-04,87.1,-7.200000000000003,87.1
1962-05,90.3,3.200000000000003,90.3
1962-06,72.4,-17.89999999999999,72.4
1962-07,84.9,12.5,84.9
1962-08,92.7,7.799999999999997,92.7
1962-09,92.2,-0.5,92.2
1962-10,114.9,22.700000000000003,114.9
1962-11,112.5,-2.4000000000000057,112.5
1962-12,118.3,5.799999999999997,118.3
1963-01,106.0,-12.299999999999997,106.0
1963-02,91.2,-14.799999999999997,91.2
1963-03,96.6,5.3999999999999915,96.6
1963-04,96.3,-0.29999999999999716,96.3
1963-05,88.2,-8.099999999999994,88.2
1963-06,70.2,-18.0,70.2
1963-07,86.5,16.299999999999997,86.5
1963-08,88.2,1.7000000000000028,88.2
1963-09,102.8,14.599999999999994,102.8
1963-10,119.1,16.299999999999997,119.1
1963-11,119.2,0.10000000000000853,119.2
1963-12,125.1,5.8999999999999915,125.1
1964-01,106.1,-19.0,106.1
1964-02,102.1,-4.0,102.1
1964-03,105.2,3.1000000000000085,105.2
1964-04,101.0,-4.200000000000003,101.0
1964-05,84.3,-16.700000000000003,84.3
1964-06,87.5,3.200000000000003,87.5
1964-07,92.7,5.200000000000003,92.7
1964-08,94.4,1.7000000000000028,94.4
1964-09,113.0,18.599999999999994,113.0
1964-10,113.9,0.9000000000000057,113.9
1964-11,122.9,9.0,122.9
1964-12,132.7,9.799999999999983,132.7
1965-01,106.9,-25.799999999999983,106.9
1965-02,96.6,-10.300000000000011,96.6
1965-03,127.3,30.700000000000003,127.3
1965-04,98.2,-29.099999999999994,98.2
1965-05,100.2,2.0,100.2
1965-06,89.4,-10.799999999999997,89.4
1965-07,95.3,5.8999999999999915,95.3
1965-08,104.2,8.900000000000006,104.2
1965-09,106.4,2.200000000000003,106.4
1965-10,116.2,9.799999999999997,116.2
1965-11,135.9,19.700000000000003,135.9
1965-12,134.0,-1.9000000000000057,134.0
1966-01,104.6,-29.400000000000006,104.6
1966-02,107.1,2.5,107.1
1966-03,123.5,16.400000000000006,123.5
1966-04,98.8,-24.700000000000003,98.8
1966-05,98.6,-0.20000000000000284,98.6
1966-06,90.6,-8.0,90.6
1966-07,89.1,-1.5,89.1
1966-08,105.2,16.10000000000001,105.2
1966-09,114.0,8.799999999999997,114.0
1966-10,122.1,8.099999999999994,122.1
1966-11,138.0,15.900000000000006,138.0
1966-12,142.2,4.199999999999989,142.2
1967-01,116.4,-25.799999999999983,116.4
1967-02,112.6,-3.8000000000000114,112.6
1967-03,123.8,11.200000000000003,123.8
1967-04,103.6,-20.200000000000003,103.6
1967-05,113.9,10.300000000000011,113.9
1967-06,98.6,-15.300000000000011,98.6
1967-07,95.0,-3.5999999999999943,95.0
1967-08,116.0,21.0,116.0
1967-09,113.9,-2.0999999999999943,113.9
1967-10,127.5,13.599999999999994,127.5
1967-11,131.4,3.9000000000000057,131.4
1967-12,145.9,14.5,145.9
1968-01,131.5,-14.400000000000006,131.5
1968-02,131.0,-0.5,131.0
1968-03,130.5,-0.5,130.5
1968-04,118.9,-11.599999999999994,118.9
1968-05,114.3,-4.6000000000000085,114.3
1968-06,85.7,-28.599999999999994,85.7
1968-07,104.6,18.89999999999999,104.6
1968-08,105.1,0.5,105.1
1968-09,117.3,12.200000000000003,117.3
1968-10,142.5,25.200000000000003,142.5
1968-11,140.0,-2.5,140.0
1968-12,159.8,19.80000000000001,159.8
1969-01,131.2,-28.600000000000023,131.2
1969-02,125.4,-5.799999999999983,125.4
1969-03,126.5,1.0999999999999943,126.5
1969-04,119.4,-7.099999999999994,119.4
1969-05,113.5,-5.900000000000006,113.5
1969-06,98.7,-14.799999999999997,98.7
1969-07,114.5,15.799999999999997,114.5
1969-08,113.8,-0.7000000000000028,113.8
1969-09,133.1,19.299999999999997,133.1
1969-10,143.4,10.300000000000011,143.4
1969-11,137.3,-6.099999999999994,137.3
1969-12,165.2,27.899999999999977,165.2
1970-01,126.9,-38.29999999999998,126.9
1970-02,124.0,-2.9000000000000057,124.0
1970-03,135.7,11.699999999999989,135.7
1970-04,130.0,-5.699999999999989,130.0
1970-05,109.4,-20.599999999999994,109.4
1970-06,117.8,8.399999999999991,117.8
1970-07,120.3,2.5,120.3
1970-08,121.0,0.7000000000000028,121.0
1970-09,132.3,11.300000000000011,132.3
1970-10,142.9,10.599999999999994,142.9
1970-11,147.4,4.5,147.4
1970-12,175.9,28.5,175.9
1971-01,132.6,-43.30000000000001,132.6
1971-02,123.7,-8.899999999999991,123.7
1971-03,153.3,29.60000000000001,153.3
1971-04,134.0,-19.30000000000001,134.0
1971-05,119.6,-14.400000000000006,119.6
1971-06,116.2,-3.3999999999999915,116.2
1971-07,118.6,2.3999999999999915,118.6
1971-08,130.7,12.099999999999994,130.7
1971-09,129.3,-1.3999999999999773,129.3
1971-10,144.4,15.099999999999994,144.4
1971-11,163.2,18.799999999999983,163.2
1971-12,179.4,16.200000000000017,179.4
1972-01,128.1,-51.30000000000001,128.1
1972-02,138.4,10.300000000000011,138.4
1972-03,152.7,14.299999999999983,152.7
1972-04,120.0,-32.69999999999999,120.0
1972-05,140.5,20.5,140.5
1972-06,116.2,-24.299999999999997,116.2
1972-07,121.4,5.200000000000003,121.4
1972-08,127.8,6.3999999999999915,127.8
1972-09,143.6,15.799999999999997,143.6
1972-10,157.6,14.0,157.6
1972-11,166.2,8.599999999999994,166.2
1972-12,182.3,16.100000000000023,182.3
1973-01,153.1,-29.200000000000017,153.1
1973-02,147.6,-5.5,147.6
1973-03,157.7,10.099999999999994,157.7
1973-04,137.2,-20.5,137.2
1973-05,151.5,14.300000000000011,151.5
1973-06,98.7,-52.8,98.7
1973-07,145.8,47.10000000000001,145.8
1973-08,151.7,5.899999999999977,151.7
1973-09,129.4,-22.299999999999983,129.4
1973-10,174.1,44.69999999999999,174.1
1973-11,197.0,22.900000000000006,197.0
1973-12,193.9,-3.0999999999999943,193.9
1974-01,164.1,-29.80000000000001,164.1
1974-02,142.8,-21.299999999999983,142.8
1974-03,157.9,15.099999999999994,157.9
1974-04,159.2,1.299999999999983,159.2
