,Month,production,value,Retrive,value2
0,1956-01,93.2,0.1258947368421052,93.2,0.5135043894991307
1,1956-02,96.0,2.799999999999997,96.0,0.5350523771152297
2,1956-03,95.2,-0.7999999999999972,95.2,0.5060435132957293
3,1956-04,77.1,-18.10000000000001,77.1,0.3666398066075745
4,1956-05,70.9,-6.199999999999989,70.9,0.4625302175664788
5,1956-06,64.8,-6.1000000000000085,64.8,0.4633360193392425
6,1956-07,70.1,5.299999999999997,70.1,0.5551974214343272
7,1956-08,77.3,7.200000000000003,77.3,0.5705076551168413
8,1956-09,79.5,2.200000000000003,79.5,0.5302175664786464
9,1956-10,100.6,21.099999999999994,100.6,0.6825141015310234
10,1956-11,100.7,0.1000000000000085,100.7,0.5132957292506045
11,1956-12,107.1,6.399999999999992,107.1,0.5640612409347301
12,1957-01,95.9,-11.199999999999989,95.9,0.4222401289282838
13,1957-02,82.8,-13.100000000000009,82.8,0.4069298952457695
14,1957-03,83.3,0.5,83.3,0.51651893634166
15,1957-04,80.0,-3.299999999999997,80.0,0.4858984689766318
16,1957-05,80.4,0.4000000000000057,80.4,0.5157131345688961
17,1957-06,67.5,-12.900000000000006,67.5,0.4085414987912973
18,1957-07,75.7,8.200000000000003,75.7,0.5785656728444803
19,1957-08,71.1,-4.6000000000000085,71.1,0.475423045930701
20,1957-09,89.3,18.200000000000003,89.3,0.6591458501208703
21,1957-10,101.1,11.799999999999995,101.1,0.6075745366639806
22,1957-11,105.2,4.1000000000000085,105.2,0.5455278001611604
23,1957-12,114.1,8.899999999999991,114.1,0.5842062852538276
24,1958-01,96.3,-17.799999999999997,96.3,0.36905721192586627
25,1958-02,84.4,-11.899999999999991,84.4,0.41659951651893645
26,1958-03,91.2,6.799999999999997,91.2,0.5672844480257857
27,1958-04,81.9,-9.299999999999995,81.9,0.4375503626107978
28,1958-05,80.5,-1.4000000000000057,80.5,0.5012087026591459
29,1958-06,70.4,-10.099999999999994,70.4,0.4311039484286866
30,1958-07,74.8,4.399999999999992,74.8,0.547945205479452
31,1958-08,75.9,1.1000000000000083,75.9,0.5213537469782434
32,1958-09,86.3,10.399999999999991,86.3,0.596293311845286
33,1958-10,98.7,12.400000000000006,98.7,0.6124093473005642
34,1958-11,100.9,2.200000000000003,100.9,0.5302175664786464
